"Name","State","Notes","User","Tags","Created","Runtime","Sweep","accuracy","precision","sensitivity","specificity"
"XGBoostWoE","finished","-","rahav-manoharan","","2021-12-07T10:10:23.000Z","24","","0.96","0.94","0.96","0.95"
"LogisticRegressionWoE","finished","-","rahav-manoharan","","2021-12-07T10:09:20.000Z","20","","0.82","0.8","0.79","0.84"
"RandomForestWoE","finished","-","rahav-manoharan","","2021-12-07T10:08:50.000Z","26","","0.9","0.9","0.89","0.92"
"DecisionTreeWithWoE","finished","-","rahav-manoharan","","2021-12-07T10:08:05.000Z","24","","0.93","0.91","0.94","0.92"
"XGBoostTarget","finished","-","rahav-manoharan","","2021-12-07T10:07:24.000Z","23","","0.96","0.94","0.96","0.95"
"LogisticRegressionTarget","finished","-","rahav-manoharan","","2021-12-07T10:06:23.000Z","20","","0.82","0.8","0.79","0.84"
"RandomForestTarget","finished","-","rahav-manoharan","","2021-12-07T10:05:55.000Z","24","","0.9","0.9","0.89","0.92"
"DecisionTreeWithTarget","finished","-","rahav-manoharan","","2021-12-07T10:05:15.000Z","23","","0.93","0.9","0.94","0.92"
"XGBoostOHE","finished","-","rahav-manoharan","","2021-12-07T09:56:52.000Z","23","","0.95","0.94","0.96","0.95"
"LogisticRegressionOHE","finished","-","rahav-manoharan","","2021-12-07T09:55:47.000Z","20","","0.82","0.8","0.79","0.84"
"RandomForestOHE","finished","-","rahav-manoharan","","2021-12-07T09:55:15.000Z","24","","0.91","0.9","0.89","0.92"
"DecisionTreeWithOHE","finished","-","rahav-manoharan","","2021-12-07T09:53:55.000Z","37","","0.93","0.91","0.94","0.92"